Instance name,T,max time,# days,# customers,# operations,Opt. no waiting,Opt. waiting,Problem type,Algorithm,# cons,# var,Root time (sec.),Total time (sec.),SEC r_time (sec.),SEC time (sec.),PEC r_time (sec.),PEC time (sec.),# BB r_iterations,# BC iterations,# BC nodes,# SEC r_cuts,# SEC cuts,# PEC r_cuts,# PEC cuts,Root LB,Root UB,Best Bound,Best Integer,Status
gr17_p5_f50_lH,359,1977,5,16,44,8456,8448,CTSP_2,COMPACT,512,385,0.03,0.05,0.00,0.00,0.00,0.00,273,443,16,21,21,0,0,8444.0,8448,8448.00,8448,2
gr17_p5_f50_lL,179,1977,5,16,44,8456,8456,CTSP_2,COMPACT,512,385,0.03,0.05,0.00,0.00,0.00,0.00,250,1016,36,21,30,0,0,8444.0,8456,8456.00,8456,2
gr17_p5_f50_lM,269,1977,5,16,44,8456,8452,CTSP_2,COMPACT,512,385,0.02,0.05,0.00,0.00,0.00,0.00,214,713,37,21,26,0,0,8444.0,8452,8452.00,8452,2
gr17_p5_f70_lH,387,2129,5,16,61,9236,9232,CTSP_2,COMPACT,966,744,0.06,16.20,0.00,1.87,0.00,0.00,403,456614,28199,21,235,0,0,9144.0,9232,9232.00,9232,2
gr17_p5_f70_lL,193,2129,5,16,61,9343,9238,CTSP_2,COMPACT,966,744,0.06,6.09,0.00,0.61,0.00,0.00,387,178798,10345,21,145,0,0,9144.0,9238,9238.00,9238,2
gr17_p5_f70_lM,290,2129,5,16,61,9238,9234,CTSP_2,COMPACT,966,744,0.06,15.47,0.00,1.66,0.00,0.00,405,450418,26188,21,215,0,0,9144.0,9234,9234.00,9234,2
gr17_p5_f90_lH,416,2290,5,16,75,10027,10027,CTSP_2,COMPACT,1452,1126,0.13,3.88,0.00,0.27,0.00,0.00,532,83896,3247,37,152,0,0,9962.0,10027,10026.00,10027,2
gr17_p5_f90_lL,208,2290,5,16,75,10027,10027,CTSP_2,COMPACT,1452,1126,0.20,2.13,0.00,0.12,0.00,0.00,622,39867,1522,37,134,0,0,9962.0,10027,10026.00,10027,2
gr17_p5_f90_lM,312,2290,5,16,75,10027,10027,CTSP_2,COMPACT,1452,1126,0.09,1.57,0.00,0.08,0.00,0.00,547,27283,1115,37,123,0,0,9962.0,10027,10026.00,10027,2
gr21_p3_f50_lH,491,2701,3,20,35,6859,6859,CTSP_2,COMPACT,476,408,0.00,0.00,0.00,0.00,0.00,0.00,0,107,0,12,12,0,0,0.0,0,6859.00,6859,2
gr21_p3_f50_lL,245,2701,3,20,35,6988,6859,CTSP_2,COMPACT,476,408,0.00,0.00,0.00,0.00,0.00,0.00,0,105,0,12,12,0,0,0.0,0,6859.00,6859,2
gr21_p3_f50_lM,368,2701,3,20,35,6861,6859,CTSP_2,COMPACT,476,408,0.00,0.00,0.00,0.00,0.00,0.00,0,102,0,12,12,0,0,0.0,0,6859.00,6859,2
gr21_p3_f70_lH,489,2690,3,20,41,7192,7192,CTSP_2,COMPACT,650,560,0.07,0.07,0.00,0.00,0.00,0.00,186,507,12,8,30,0,0,7187.0,7192,7192.00,7192,2
gr21_p3_f70_lL,244,2690,3,20,41,7192,7192,CTSP_2,COMPACT,650,560,0.06,0.07,0.00,0.00,0.00,0.00,178,402,13,8,18,0,0,7187.0,7192,7192.00,7192,2
gr21_p3_f70_lM,366,2690,3,20,41,7192,7192,CTSP_2,COMPACT,650,560,0.05,0.07,0.00,0.00,0.00,0.00,179,442,13,8,18,0,0,7187.0,7192,7192.00,7192,2
gr21_p3_f90_lH,546,3004,3,20,56,7993,7993,CTSP_2,COMPACT,1202,1049,0.00,0.03,0.00,0.00,0.00,0.00,0,232,0,53,53,0,0,0.0,0,7993.00,7993,2
gr21_p3_f90_lL,273,3004,3,20,56,7993,7993,CTSP_2,COMPACT,1202,1049,0.00,0.03,0.00,0.00,0.00,0.00,0,229,0,53,53,0,0,0.0,0,7993.00,7993,2
gr21_p3_f90_lM,409,3004,3,20,56,7993,7993,CTSP_2,COMPACT,1202,1049,0.00,0.03,0.00,0.00,0.00,0.00,0,233,0,53,53,0,0,0.0,0,7993.00,7993,2
gr21_p5_f50_lH,491,2701,5,20,59,11587,11587,CTSP_2,COMPACT,874,694,0.04,0.04,0.00,0.00,0.00,0.00,230,629,14,17,24,0,0,11565.0,11587,11587.00,11587,2
gr21_p5_f50_lL,245,2701,5,20,59,11745,11587,CTSP_2,COMPACT,874,694,0.08,0.08,0.00,0.00,0.00,0.00,234,365,6,17,25,0,0,11565.0,11587,11587.00,11587,2
gr21_p5_f50_lM,368,2701,5,20,59,11589,11587,CTSP_2,COMPACT,874,694,0.06,0.08,0.00,0.00,0.00,0.00,232,392,5,17,20,0,0,11565.0,11587,11587.00,11587,2
gr21_p5_f70_lH,489,2690,5,20,71,11791,11791,CTSP_2,COMPACT,1260,1010,0.06,0.13,0.00,0.00,0.00,0.00,355,1297,21,10,18,0,0,11764.0,11791,11791.00,11791,2
gr21_p5_f70_lL,244,2690,5,20,71,11832,11791,CTSP_2,COMPACT,1260,1010,0.08,0.17,0.00,0.00,0.00,0.00,371,868,12,10,13,0,0,11764.0,11791,11791.00,11791,2
gr21_p5_f70_lM,366,2690,5,20,71,11791,11791,CTSP_2,COMPACT,1260,1010,0.11,0.25,0.00,0.00,0.00,0.00,359,818,11,10,11,0,0,11764.0,11791,11791.00,11791,2
gr21_p5_f90_lH,546,3004,5,20,93,13238,13238,CTSP_2,COMPACT,2142,1732,0.00,0.08,0.00,0.00,0.00,0.00,0,419,0,64,64,0,0,0.0,0,13238.00,13238,2
gr21_p5_f90_lL,273,3004,5,20,93,13245,13238,CTSP_2,COMPACT,2142,1732,0.00,0.08,0.00,0.00,0.00,0.00,0,413,0,64,64,0,0,0.0,0,13238.00,13238,2
