Instance name,Subramanyam and Gounaris (2018),Root time (sec.),Total time (sec.),# BC nodes,Root LB,Root UB,root-Gap,Best Bound,Best Integer,Status,res-Gap,Best known
bays29_p3_f90_lH,5673,0.08,0.85,462,5637.5,5690,0.9,5673.0,5673,1,,0
bays29_p3_f90_lL,5690,0.08,0.86,676,5637.5,5690,0.9,5690.0,5690,1,,0
bays29_p3_f90_lM,5673,0.08,0.67,465,5637.5,5690,0.9,5673.0,5673,1,,0
bays29_p5_f50_lH,7130,0.10,0.08,3,7126.0,7130,0.1,7130.0,7130,1,,0
bays29_p5_f50_lL,7149,0.13,0.12,8,7126.0,7149,0.3,7149.0,7149,1,,0
bays29_p5_f50_lM,7130,0.00,0.06,0,7130.0,7130,0.0,7130.0,7130,1,,0
bays29_p5_f70_lH,8527,0.00,0.10,0,8527.0,8527,0.0,8527.0,8527,1,,0
bays29_p5_f70_lL,8542,0.16,0.32,82,8527.0,8542,0.2,8542.0,8542,1,,0
bays29_p5_f70_lM,8542,0.18,0.31,74,8527.0,8542,0.2,8542.0,8542,1,,0
bays29_p5_f90_lH,9512,0.29,3.78,2082,9464.0,9534,0.7,9512.0,9512,1,,0
bays29_p5_f90_lL,9534,0.42,10.77,6524,9470.5,9534,0.7,9534.0,9534,1,,0
bays29_p5_f90_lM,9512,0.41,5.3,2585,9473.5,9534,0.6,9512.0,9512,1,,0
ftv33_p3_f50_lH,3037,0.22,0.51,191,2996.1,3037,1.4,3037.0,3037,1,,0
ftv33_p3_f50_lL,3037,0.22,0.62,286,2994.7,3037,1.4,3037.0,3037,1,,0
ftv33_p3_f50_lM,3037,0.22,0.63,340,2994.7,3037,1.4,3037.0,3037,1,,0
ftv33_p3_f70_lH,3335,0.26,147.60,50970,3189.6,3373,5.7,3335.0,3335,1,,0
ftv33_p3_f70_lL,3335,0.33,10.15,6677,3209.9,3412,6.3,3335.0,3335,1,,0
ftv33_p3_f70_lM,3335,0.15,26.76,16487,3199.9,3373,5.4,3335.0,3335,1,,0
ftv33_p3_f90_lH,3813,0.42,2.25,1200,3756.3,3813,1.5,3813.0,3813,1,,0
ftv33_p3_f90_lL,3813,0.50,2.66,1431,3762.3,3813,1.3,3813.0,3813,1,,0
ftv33_p3_f90_lM,3813,0.42,1.24,401,3756.3,3813,1.5,3813.0,3813,1,,0
ftv33_p5_f50_lH,5174,0.34,0.82,165,5103.8,5174,1.4,5174.0,5174,1,,0
ftv33_p5_f50_lL,5174,0.36,0.89,239,5103.6,5174,1.4,5174.0,5174,1,,0
ftv33_p5_f50_lM,5174,0.36,0.84,227,5104.0,5174,1.4,5174.0,5174,1,,0
ftv33_p5_f70_lH,5687,0.42,3559.63,453714,5470.4,5717,4.5,5687.0,5687,1,,0
ftv33_p5_f70_lL,5687,0.54,214.55,49623,5488.7,5728,4.4,5687.0,5687,1,,0
ftv33_p5_f70_lM,5687,0.52,1975.14,387969,5499.4,5728,4.2,5687.0,5687,1,,0
ftv33_p5_f90_lH,6378,0.59,4.88,1740,6312.0,6378,1.0,6378.0,6378,1,,0
ftv33_p5_f90_lL,6378,0.67,2.46,517,6313.2,6378,1.0,6378.0,6378,1,,0
ftv33_p5_f90_lM,6378,0.61,2.28,444,6312.0,6378,1.0,6378.0,6378,1,,0
ftv35_p3_f50_lH,3275,0.19,2.77,1506,3183.3,3348,5.2,3275.0,3275,1,,0
ftv35_p3_f50_lL,3316,0.18,11.19,8188,3200.1,3335,4.2,3316.0,3316,1,,0
ftv35_p3_f50_lM,3298,0.16,13.73,8281,3183.1,3357,5.5,3298.0,3298,1,,0
ftv35_p3_f70_lH,3814,0.18,3.37,1440,3742.0,3880,3.7,3814.0,3814,1,,0
ftv35_p3_f70_lL,3822,0.31,2.27,730,3775.3,3880,2.8,3822.0,3822,1,,0
ftv35_p3_f70_lM,3814,0.14,3.39,1255,3743.3,3880,3.7,3814.0,3814,1,,0
ftv35_p3_f90_lH,4233,0.28,22.74,8338,4171.0,4270,2.4,4233.0,4233,1,,0
ftv35_p3_f90_lL,4251,0.30,14.10,5674,4182.8,4270,2.1,4251.0,4251,1,,0
ftv35_p3_f90_lM,4251,0.33,43.82,15588,4179.6,4270,2.2,4251.0,4251,1,,0
ftv35_p5_f50_lH,5433,0.45,90.25,46161,5278.6,5470,3.6,5433.0,5433,1,,0
ftv35_p5_f50_lL,5482,0.22,125.84,68419,5273.2,5490,4.1,5482.0,5482,1,,0
ftv35_p5_f50_lM,5462,0.43,275.77,102810,5279.4,5490,4.0,5462.0,5462,1,,0
ftv35_p5_f70_lH,6473,0.58,55.84,22133,6396.1,6541,2.3,6473.0,6473,1,,0
ftv35_p5_f70_lL,6503,0.41,5.63,1450,6401.0,6541,2.2,6503.0,6503,1,,0
ftv35_p5_f70_lM,6473,0.51,14.23,3669,6400.7,6541,2.2,6473.0,6473,1,,0
ftv35_p5_f90_lH,7062,0.45,3218.17,228880,6942.6,7173,3.3,7062.0,7062,1,,0
ftv35_p5_f90_lL,7090,0.46,687.65,94093,6938.1,7186,3.6,7090.0,7090,1,,0
ftv35_p5_f90_lM,7090,0.49,3145.46,291682,6943.1,7173,3.3,7090.0,7090,1,,0
ftv38_p3_f50_lH,3284,0.18,0.39,153,3240.6,3296,1.7,3284.0,3284,1,,0
ftv38_p3_f50_lL,3288,0.22,0.37,103,3243.4,3296,1.6,3288.0,3288,1,,0
ftv38_p3_f50_lM,3284,0.18,0.36,145,3240.6,3296,1.7,3284.0,3284,1,,0
ftv38_p3_f70_lH,3963,0.37,1.45,517,3898.0,3963,1.7,3963.0,3963,1,,0
ftv38_p3_f70_lL,3963,0.37,1.56,673,3897.9,3963,1.7,3963.0,3963,1,,0
ftv38_p3_f70_lM,3963,0.37,1.37,594,3897.9,3963,1.7,3963.0,3963,1,,0
ftv38_p3_f90_lH,4461,0.40,1.27,354,4437.1,4461,0.5,4461.0,4461,1,,0
ftv38_p3_f90_lL,4461,0.43,0.95,155,4437.5,4461,0.5,4461.0,4461,1,,0
ftv38_p3_f90_lM,4461,0.40,0.9,182,4437.4,4461,0.5,4461.0,4461,1,,0
