gr21_p3_f90_lM      	  409	 3004	    3	   20	   56	   7993.0	   7993.0	CTSP_2         	H CTSP2        	    0.3230	  7993.000	  2731.000	    1	
gr21_p5_f50_lH      	  491	 2701	    5	   20	   59	  11587.0	  11587.0	CTSP_2         	H CTSP2        	    0.6170	 11587.000	  2456.000	    1	
gr21_p5_f50_lL      	  245	 2701	    5	   20	   59	  11745.0	  11587.0	CTSP_2         	H CTSP2        	    0.6840	 11587.000	  2456.000	    1	
gr21_p5_f50_lM      	  368	 2701	    5	   20	   59	  11589.0	  11587.0	CTSP_2         	H CTSP2        	    0.6240	 11587.000	  2456.000	    1	
gr21_p5_f70_lH      	  489	 2690	    5	   20	   71	  11791.0	  11791.0	CTSP_2         	H CTSP2        	    1.0890	 11791.000	  2446.000	    1	
gr21_p5_f70_lL      	  244	 2690	    5	   20	   71	  11832.0	  11791.0	CTSP_2         	H CTSP2        	    0.9600	 11791.000	  2446.000	    1	
gr21_p5_f70_lM      	  366	 2690	    5	   20	   71	  11791.0	  11791.0	CTSP_2         	H CTSP2        	    1.1020	 11791.000	  2446.000	    1	
gr21_p5_f90_lH      	  546	 3004	    5	   20	   93	  13238.0	  13238.0	CTSP_2         	H CTSP2        	    1.0430	 13238.000	  2731.000	    1	
gr21_p5_f90_lL      	  273	 3004	    5	   20	   93	  13245.0	  13238.0	CTSP_2         	H CTSP2        	    0.9400	 13238.000	  2787.000	    1	
gr21_p5_f90_lM      	  409	 3004	    5	   20	   93	  13238.0	  13238.0	CTSP_2         	H CTSP2        	    1.0860	 13238.000	  2731.000	    1	
ulysses22_p3_f50_lH 	 1239	 6792	    3	   21	   35	  18453.0	  18453.0	CTSP_2         	H CTSP2        	    0.2280	 18453.000	  6175.000	    1	
ulysses22_p3_f50_lL 	  619	 6792	    3	   21	   35	  18453.0	  18453.0	CTSP_2         	H CTSP2        	    0.2250	 18453.000	  6175.000	    1	
ulysses22_p3_f50_lM 	  929	 6792	    3	   21	   35	  18453.0	  18453.0	CTSP_2         	H CTSP2        	    0.2350	 18453.000	  6175.000	    1	
ulysses22_p3_f70_lH 	 1330	 7068	    3	   21	   44	  19213.0	  19213.0	CTSP_2         	H CTSP2        	    0.2560	 19213.000	  6426.000	    1	
